"gene_name","old_annotation","pfams","GOs"
"LOC105424638","calcium-activated potassium channel slowpoke isoform X7","PF03493|Calcium-activated BK potassium channel alpha subunit; PF00520|Ion transport protein","GO:0006813|potassium ion transport; GO:0016020|membrane; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424638","calcium-activated potassium channel slowpoke isoform X2","PF03493|Calcium-activated BK potassium channel alpha subunit; PF00520|Ion transport protein","GO:0006813|potassium ion transport; GO:0016020|membrane; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424638","calcium-activated potassium channel slowpoke isoform X6","PF03493|Calcium-activated BK potassium channel alpha subunit; PF00520|Ion transport protein","GO:0006813|potassium ion transport; GO:0016020|membrane; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424638","calcium-activated potassium channel slowpoke isoform X5","PF03493|Calcium-activated BK potassium channel alpha subunit; PF00520|Ion transport protein","GO:0006813|potassium ion transport; GO:0016020|membrane; GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424639","voltage-dependent T-type calcium channel subunit alpha-1G-like isoform X4","PF00520|Ion transport protein","GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424639","voltage-dependent T-type calcium channel subunit alpha-1G-like isoform X3","PF00520|Ion transport protein","GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424639","voltage-dependent T-type calcium channel subunit alpha-1G-like isoform X1","PF00520|Ion transport protein","GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105431107","zinc finger and BTB domain-containing protein 17-like","PF00096|Zinc finger, C2H2 type",NA
"LOC105431107","zinc finger and BTB domain-containing protein 17-like","PF00096|Zinc finger, C2H2 type",NA
"LOC105431107","zinc finger and BTB domain-containing protein 17-like","PF00096|Zinc finger, C2H2 type",NA
"LOC105431108","protein rolling stone-like isoform X1",NA,NA
"LOC105431108","protein rolling stone-like isoform X2",NA,NA
"LOC105431108","protein rolling stone-like isoform X3",NA,NA
"LOC105431108","protein rolling stone-like isoform X3",NA,NA
"LOC105431108","protein rolling stone-like isoform X3",NA,NA
"LOC105431131","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X1","PF13519|von Willebrand factor type A domain; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd; PF08399|VWA N-terminal",NA
"LOC105431131","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X2","PF13519|von Willebrand factor type A domain; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd; PF08399|VWA N-terminal",NA
"LOC105431109","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X1","PF00092|von Willebrand factor type A domain; PF08399|VWA N-terminal; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd",NA
"LOC105431109","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X3","PF00092|von Willebrand factor type A domain; PF08399|VWA N-terminal; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd",NA
"LOC105431109","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X2","PF00092|von Willebrand factor type A domain; PF08399|VWA N-terminal; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd",NA
"LOC105431109","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X4","PF00092|von Willebrand factor type A domain; PF08399|VWA N-terminal; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd",NA
"LOC105431109","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X6","PF00092|von Willebrand factor type A domain; PF08399|VWA N-terminal; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd",NA
"LOC105431109","voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X5","PF00092|von Willebrand factor type A domain; PF08399|VWA N-terminal; PF08473|Neuronal voltage-dependent calcium channel alpha 2acd",NA
"LOC105431110","uncharacterized protein LOC105431110","PF08398|Parvovirus coat protein VP1","GO:0005198|structural molecule activity"
"LOC105431110","uncharacterized protein LOC105431110","PF08398|Parvovirus coat protein VP1","GO:0005198|structural molecule activity"
"LOC105431111","putative nuclease HARBI1","PF13359|DDE superfamily endonuclease",NA
"LOC105431111","putative nuclease HARBI1","PF13359|DDE superfamily endonuclease",NA
"LOC105431116","phosphate carrier protein, mitochondrial","PF00153|Mitochondrial carrier protein",NA
"LOC105431115","LOW QUALITY PROTEIN: solute carrier family 26 member 10-like","PF01740|STAS domain; PF00916|Sulfate permease family","GO:0008272|sulfate transport; GO:0015116|sulfate transmembrane transporter activity; GO:0016021|integral component of membrane"
"LOC105431114","jmjC domain-containing protein 7","PF13621|Cupin-like domain",NA
"LOC105431113","zinc finger protein 652-A-like","PF00096|Zinc finger, C2H2 type; PF13912|C2H2-type zinc finger",NA
"LOC105431113","zinc finger protein 652-A-like","PF00096|Zinc finger, C2H2 type; PF13912|C2H2-type zinc finger",NA
"LOC105431117","LOW QUALITY PROTEIN: serine--tRNA ligase, mitochondrial","PF00587|tRNA synthetase class II core domain (G, H, P, S and T)","GO:0000166|nucleotide binding; GO:0004812|aminoacyl-tRNA ligase activity; GO:0005524|ATP binding; GO:0006418|tRNA aminoacylation for protein translation"
"LOC105431118","protein krasavietz","PF02020|eIF4-gamma/eIF5/eIF2-epsilon","GO:0005515|protein binding"
"LOC105427151","uncharacterized protein LOC105427151",NA,NA
"LOC105427152","matrix metalloproteinase-28-like","PF00413|Matrixin","GO:0004222|metalloendopeptidase activity; GO:0006508|proteolysis; GO:0008270|zinc ion binding; GO:0031012|extracellular matrix"
"LOC105427147","dystroglycan isoform X1","PF18424|Alpha-Dystroglycan N-terminal domain 2; PF05454|Dystroglycan (Dystrophin-associated glycoprotein 1)","GO:0016010|dystrophin-associated glycoprotein complex"
"LOC105427147","dystroglycan isoform X1","PF18424|Alpha-Dystroglycan N-terminal domain 2; PF05454|Dystroglycan (Dystrophin-associated glycoprotein 1)","GO:0016010|dystrophin-associated glycoprotein complex"
"LOC105427147","dystroglycan isoform X2","PF18424|Alpha-Dystroglycan N-terminal domain 2; PF05454|Dystroglycan (Dystrophin-associated glycoprotein 1)","GO:0016010|dystrophin-associated glycoprotein complex"
"LOC105427145","uncharacterized protein LOC105427145",NA,NA
"LOC105427150","carbonic anhydrase 2","PF00194|Eukaryotic-type carbonic anhydrase",NA
"LOC105429412","mitochondrial carnitine/acylcarnitine carrier protein isoform X2","PF00153|Mitochondrial carrier protein",NA
"LOC105424639","voltage-dependent T-type calcium channel subunit alpha-1G-like isoform X2","PF00520|Ion transport protein","GO:0005216|ion channel activity; GO:0006811|ion transport; GO:0016020|membrane; GO:0055085|transmembrane transport"
"LOC105424641","SUN domain-containing protein 3, partial","PF07738|Sad1 / UNC-like C-terminal",NA
"LOC112552445","SUN domain-containing protein 2-like",NA,NA
"LOC105424643","tetratricopeptide repeat protein 39C-like","PF10300|Protein of unknown function (DUF3808)",NA
"LOC105424644","soluble calcium-activated nucleotidase 1 isoform X1","PF06079|Apyrase",NA
"LOC105424644","soluble calcium-activated nucleotidase 1 isoform X2","PF06079|Apyrase",NA
"LOC105424663","rhomboid-related protein 3-like",NA,NA
"LOC105424664","uncharacterized protein LOC105424664",NA,NA
"LOC105424646","protein rhomboid","PF01694|Rhomboid family","GO:0004252|serine-type endopeptidase activity; GO:0016021|integral component of membrane"
"LOC105424647","uncharacterized protein LOC105424647","PF00059|Lectin C-type domain",NA
"LOC105424648","signal transducing adapter molecule 1 isoform X2","PF00018|SH3 domain; PF00790|VHS domain","GO:0005515|protein binding; GO:0035091|phosphatidylinositol binding; GO:0043130|ubiquitin binding"
"LOC105424648","signal transducing adapter molecule 1 isoform X1","PF00018|SH3 domain; PF00790|VHS domain","GO:0005515|protein binding; GO:0035091|phosphatidylinositol binding; GO:0043130|ubiquitin binding"
"LOC105424649","mitochondrial cardiolipin hydrolase","PF13091|PLD-like domain",NA
"LOC105424650","serine/threonine-protein kinase SBK1","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105424652","myb-like protein D",NA,NA
"LOC105424651","uncharacterized protein LOC105424651",NA,NA
"LOC105424653","uncharacterized protein LOC105424653","PF08205|CD80-like C2-set immunoglobulin domain",NA
"LOC105424653","uncharacterized protein LOC105424653","PF08205|CD80-like C2-set immunoglobulin domain",NA
"LOC105423519","uncharacterized protein LOC105423519",NA,NA
"LOC112552359","uncharacterized protein LOC112552359",NA,NA
"LOC112552360","uncharacterized protein LOC112552360","PF12259|Baculovirus F protein",NA
"LOC105426858","uncharacterized protein LOC105426858","PF17919|RNase H-like domain found in reverse transcriptase; PF00078|Reverse transcriptase (RNA-dependent DNA polymerase)",NA
"LOC105426845","uncharacterized protein LOC105426845",NA,NA
"LOC105426844","uncharacterized protein LOC105426844",NA,NA
"LOC105426848","ran-binding protein 3","PF00638|RanBP1 domain","GO:0046907|intracellular transport"
"LOC105426850","40S ribosomal protein SA","PF00318|Ribosomal protein S2; PF16122|40S ribosomal protein SA C-terminus","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation"
"LOC105426851","N-lysine methyltransferase KMT5A-B","PF00856|SET domain","GO:0005515|protein binding"
"LOC105426852","protein strawberry notch-like isoform X2","PF13872|P-loop containing NTP hydrolase pore-1; PF13871|C-terminal domain on Strawberry notch homologue",NA
"LOC105426852","protein strawberry notch-like isoform X1","PF13872|P-loop containing NTP hydrolase pore-1; PF13871|C-terminal domain on Strawberry notch homologue",NA
"LOC105426854","Golgi SNAP receptor complex member 1 isoform X2","PF12352|Snare region anchored in the vesicle membrane C-terminus",NA
"LOC105426854","Golgi SNAP receptor complex member 1 isoform X1","PF12352|Snare region anchored in the vesicle membrane C-terminus",NA
"LOC112552597","uncharacterized protein LOC112552597",NA,NA
"LOC112552598","uncharacterized protein LOC112552598",NA,NA
"LOC105426862","uncharacterized protein LOC105426862","PF02892|BED zinc finger","GO:0003677|DNA binding"
"LOC105426864","uncharacterized protein LOC105426864",NA,NA
"LOC105426864","uncharacterized protein LOC105426864",NA,NA
"LOC105429413","WASH complex subunit 1 isoform X1","PF11945|WAHD domain of WASH complex",NA
"LOC105429413","WASH complex subunit 1 isoform X2","PF11945|WAHD domain of WASH complex",NA
"LOC105429412","mitochondrial carnitine/acylcarnitine carrier protein isoform X1","PF00153|Mitochondrial carrier protein",NA
"LOC105429411","insulin-like growth factor-binding protein complex acid labile subunit","PF13855|Leucine rich repeat","GO:0005515|protein binding"
"LOC105429414","N-acetylgalactosaminyltransferase 7","PF00535|Glycosyl transferase family 2",NA
"LOC105429415","T-complex protein 1 subunit delta","PF00118|TCP-1/cpn60 chaperonin family","GO:0005524|ATP binding; GO:0016887|ATPase activity"
"LOC112552795","uncharacterized protein LOC112552795",NA,NA
"LOC105429547","uncharacterized protein LOC105429547","PF00595|PDZ domain","GO:0005515|protein binding"
"LOC105429416","cysteine-rich PDZ-binding protein","PF10235|Microtubule-associated protein CRIPT",NA
"LOC105429416","cysteine-rich PDZ-binding protein","PF10235|Microtubule-associated protein CRIPT",NA
"LOC105429419","uncharacterized protein LOC105429419","PF01541|GIY-YIG catalytic domain",NA
"LOC105429421","LOW QUALITY PROTEIN: protein diaphanous-like","PF06371|Diaphanous GTPase-binding Domain; PF06345|DRF Autoregulatory Domain; PF02181|Formin Homology 2 Domain; PF06367|Diaphanous FH3 Domain","GO:0003779|actin binding; GO:0030036|actin cytoskeleton organization; GO:0031267|small GTPase binding; GO:0003779|actin binding; GO:0016043|cellular component organization"
"LOC105429422","ras-related protein Rab-2","PF00071|Ras family","GO:0003924|GTPase activity; GO:0005525|GTP binding"
"LOC105429548","uncharacterized protein LOC105429548, partial","PF00069|Protein kinase domain","GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation"
"LOC105429423","peroxisome assembly factor 2","PF00004|ATPase family associated with various cellular activities (AAA)","GO:0005524|ATP binding; GO:0016887|ATPase activity"
"LOC105429426","E3 ubiquitin-protein ligase CBL-B isoform X4","PF00627|UBA/TS-N domain; PF02762|CBL proto-oncogene N-terminus, SH2-like domain; PF02262|CBL proto-oncogene N-terminal domain 1; PF02761|CBL proto-oncogene N-terminus, EF hand-like domain; PF14447|Prokaryotic RING finger family 4","GO:0007166|cell surface receptor signaling pathway; GO:0005509|calcium ion binding"
"LOC105429426","E3 ubiquitin-protein ligase CBL isoform X2","PF00627|UBA/TS-N domain; PF02762|CBL proto-oncogene N-terminus, SH2-like domain; PF02262|CBL proto-oncogene N-terminal domain 1; PF02761|CBL proto-oncogene N-terminus, EF hand-like domain; PF14447|Prokaryotic RING finger family 4","GO:0007166|cell surface receptor signaling pathway; GO:0005509|calcium ion binding"
"LOC105429426","E3 ubiquitin-protein ligase CBL-B isoform X3","PF00627|UBA/TS-N domain; PF02762|CBL proto-oncogene N-terminus, SH2-like domain; PF02262|CBL proto-oncogene N-terminal domain 1; PF02761|CBL proto-oncogene N-terminus, EF hand-like domain; PF14447|Prokaryotic RING finger family 4","GO:0007166|cell surface receptor signaling pathway; GO:0005509|calcium ion binding"
"LOC105429426","E3 ubiquitin-protein ligase CBL isoform X1","PF00627|UBA/TS-N domain; PF02762|CBL proto-oncogene N-terminus, SH2-like domain; PF02262|CBL proto-oncogene N-terminal domain 1; PF02761|CBL proto-oncogene N-terminus, EF hand-like domain; PF14447|Prokaryotic RING finger family 4","GO:0007166|cell surface receptor signaling pathway; GO:0005509|calcium ion binding"
"LOC105429424","probable phospholipid hydroperoxide glutathione peroxidase isoform X1","PF00255|Glutathione peroxidase","GO:0004602|glutathione peroxidase activity; GO:0006979|response to oxidative stress"
"LOC105429424","probable phospholipid hydroperoxide glutathione peroxidase isoform X2","PF00255|Glutathione peroxidase","GO:0004602|glutathione peroxidase activity; GO:0006979|response to oxidative stress"
"LOC105429424","probable phospholipid hydroperoxide glutathione peroxidase isoform X2","PF00255|Glutathione peroxidase","GO:0004602|glutathione peroxidase activity; GO:0006979|response to oxidative stress"
"LOC105429448","glycerol kinase isoform X1","PF00370|FGGY family of carbohydrate kinases, N-terminal domain; PF02782|FGGY family of carbohydrate kinases, C-terminal domain","GO:0005975|carbohydrate metabolic process; GO:0016773|phosphotransferase activity, alcohol group as acceptor"
"LOC105429448","glycerol kinase isoform X1","PF00370|FGGY family of carbohydrate kinases, N-terminal domain; PF02782|FGGY family of carbohydrate kinases, C-terminal domain","GO:0005975|carbohydrate metabolic process; GO:0016773|phosphotransferase activity, alcohol group as acceptor"
"LOC105429448","glycerol kinase isoform X2","PF00370|FGGY family of carbohydrate kinases, N-terminal domain; PF02782|FGGY family of carbohydrate kinases, C-terminal domain","GO:0005975|carbohydrate metabolic process; GO:0016773|phosphotransferase activity, alcohol group as acceptor"
"LOC105429445","LOW QUALITY PROTEIN: monoacylglycerol lipase ABHD12","PF12146|Serine aminopeptidase, S33",NA
"LOC105429444","jmjC domain-containing protein 4","PF02373|JmjC domain, hydroxylase",NA
